k_true,param,sampler,metric,min,q1,mean,median,q3,max,n_sim
5,Alt2,HMC,Wasserstein1,0.14356,0.28799,0.55803,0.43638,0.6745,2.59044,50.0
5,Alt3,bayesm,Hellinger,0.03879,0.08974,0.13165,0.11757,0.15286,0.34481,50.0
5,Alt3,Replication,Hellinger,0.03937,0.09158,0.1286,0.111,0.15132,0.37083,50.0
5,Alt3,NUTS,Hellinger,0.04502,0.1081,0.16204,0.14383,0.18613,0.39994,50.0
5,Alt3,HMC,Hellinger,0.0481,0.11007,0.16663,0.15208,0.19171,0.37399,50.0
5,Alt3,bayesm,KL,0.006,0.04819,0.30778,0.09707,0.18039,6.3576,50.0
5,Alt3,Replication,KL,0.00631,0.04887,0.53109,0.09054,0.15026,18.74868,50.0
5,Alt3,NUTS,KL,0.01204,0.09534,inf,0.1927,0.4018,inf,50.0
5,Alt3,HMC,KL,0.0184,0.10248,inf,0.20026,0.4439,inf,50.0
5,Alt3,bayesm,JSD,0.0015,0.00779,0.01913,0.01292,0.02055,0.09471,50.0
5,Alt3,Replication,JSD,0.00154,0.00783,0.01823,0.01185,0.02025,0.10744,50.0
5,Alt3,NUTS,JSD,0.00194,0.01092,0.02768,0.01945,0.03077,0.12265,50.0
5,Alt3,HMC,JSD,0.00212,0.01139,0.02911,0.02114,0.03248,0.10918,50.0
5,Alt3,bayesm,TVD,0.04523,0.07735,0.11281,0.102,0.13672,0.23349,50.0
5,Alt3,Replication,TVD,0.04503,0.07862,0.11142,0.09741,0.13241,0.2408,50.0
5,Alt3,NUTS,TVD,0.04188,0.09318,0.1363,0.12344,0.16714,0.31239,50.0
5,Alt3,HMC,TVD,0.0392,0.09663,0.14017,0.13518,0.17276,0.3124,50.0
5,Alt3,bayesm,Wasserstein1,0.09883,0.23659,0.42626,0.35402,0.50866,1.40005,50.0
5,Alt3,Replication,Wasserstein1,0.09424,0.23259,0.43938,0.33654,0.48677,2.58245,50.0
5,Alt3,NUTS,Wasserstein1,0.11753,0.28344,0.59525,0.41125,0.6174,3.23066,50.0
5,Alt3,HMC,Wasserstein1,0.1282,0.30927,0.56829,0.41616,0.62072,2.61077,50.0
5,Price,bayesm,Hellinger,0.04199,0.07036,0.09158,0.08174,0.10138,0.19487,50.0
5,Price,Replication,Hellinger,0.04194,0.07159,0.09134,0.08994,0.1008,0.19468,50.0
5,Price,NUTS,Hellinger,0.03702,0.08156,0.10972,0.09556,0.12271,0.2279,50.0
5,Price,HMC,Hellinger,0.04242,0.08401,0.11256,0.09992,0.13398,0.23173,50.0
5,Price,bayesm,KL,0.00979,0.0301,0.065,0.04295,0.06501,0.24404,50.0
5,Price,Replication,KL,0.00888,0.03054,0.06385,0.0477,0.06374,0.24069,50.0
5,Price,NUTS,KL,0.00549,0.05274,0.15876,0.07375,0.13546,1.83884,50.0
5,Price,HMC,KL,0.0176,0.05051,0.15215,0.07791,0.14184,1.1309,50.0
5,Price,bayesm,JSD,0.00165,0.00465,0.00913,0.00626,0.01,0.03509,50.0
5,Price,Replication,JSD,0.00153,0.00476,0.00888,0.00744,0.00989,0.03504,50.0
5,Price,NUTS,JSD,0.00137,0.00606,0.01312,0.00848,0.01406,0.04568,50.0
5,Price,HMC,JSD,0.0017,0.0067,0.01328,0.00922,0.01656,0.04494,50.0
5,Price,bayesm,TVD,0.03104,0.05943,0.08175,0.07317,0.09602,0.16317,50.0
5,Price,Replication,TVD,0.02935,0.05934,0.08105,0.07708,0.09248,0.16213,50.0
5,Price,NUTS,TVD,0.02329,0.06524,0.09337,0.08401,0.11692,0.18868,50.0
5,Price,HMC,TVD,0.03587,0.07034,0.09849,0.09084,0.12236,0.18942,50.0
5,Price,bayesm,Wasserstein1,0.08065,0.20226,0.31372,0.24974,0.37589,0.69222,50.0
5,Price,Replication,Wasserstein1,0.0615,0.21012,0.31467,0.25875,0.40644,0.68861,50.0
5,Price,NUTS,Wasserstein1,0.07578,0.22092,0.37867,0.29567,0.48202,1.10778,50.0
5,Price,HMC,Wasserstein1,0.11552,0.22094,0.36424,0.31168,0.43354,0.89946,50.0
